DATE,FRACPIALLMINMEI
2000-01-01,79.3600000000000000
2000-04-01,79.8133333333333333
2000-07-01,80.1066666666666667
2000-10-01,80.4366666666666667
2001-01-01,80.3966666666666667
2001-04-01,81.4500000000000000
2001-07-01,81.5300000000000000
2001-10-01,81.5666666666666667
2002-01-01,82.1266666666666667
2002-04-01,82.7733333333333333
2002-07-01,82.9766666666666667
2002-10-01,83.3166666666666667
2003-01-01,84.0700000000000000
2003-04-01,84.3566666666666667
2003-07-01,84.5800000000000000
2003-10-01,85.1366666666666667
2004-01-01,85.5833333333333333
2004-04-01,86.3733333333333333
2004-07-01,86.5133333333333333
2004-10-01,86.9166666666666667
2005-01-01,87.0566666666666667
2005-04-01,87.8433333333333333
2005-07-01,88.1400000000000000
2005-10-01,88.3766666666666667
2006-01-01,88.6100000000000000
2006-04-01,89.5233333333333333
2006-07-01,89.6333333333333333
2006-10-01,89.5366666666666667
2007-01-01,89.6400000000000000
2007-04-01,90.5733333333333333
2007-07-01,90.7700000000000000
2007-10-01,91.6366666666666667
2008-01-01,92.2833333333333333
2008-04-01,93.5666666666666667
2008-07-01,93.7200000000000000
2008-10-01,93.2500000000000000
2009-01-01,92.8600000000000000
2009-04-01,93.3733333333333333
2009-07-01,93.3233333333333333
2009-10-01,93.5900000000000000
2010-01-01,94.0900000000000000
2010-04-01,94.8800000000000000
2010-07-01,94.7633333333333333
2010-10-01,95.1266666666666667
2011-01-01,95.7800000000000000
2011-04-01,96.8400000000000000
2011-07-01,96.7900000000000000
2011-10-01,97.4500000000000000
2012-01-01,97.9966666666666667
2012-04-01,98.7766666666666667
2012-07-01,98.7033333333333333
2012-10-01,98.9433333333333333
2013-01-01,99.0366666666666667
2013-04-01,99.5733333333333333
2013-07-01,99.6300000000000000
2013-10-01,99.5866666666666667
2014-01-01,99.7566666666666667
2014-04-01,100.2000000000000000
2014-07-01,100.0266666666666667
2014-10-01,99.8633333333333333
2015-01-01,99.5166666666666667
2015-04-01,100.4133333333333333
2015-07-01,100.1100000000000000
2015-10-01,99.9566666666666667
2016-01-01,99.4766666666666667
2016-04-01,100.4066666666666667
2016-07-01,100.3900000000000000
2016-10-01,100.4566666666666667
2017-01-01,100.7033333333333333
2017-04-01,101.2966666666666667
2017-07-01,101.2633333333333333
2017-10-01,101.6033333333333333
2018-01-01,102.0733333333333333
2018-04-01,103.2166666666666667
2018-07-01,103.5400000000000000
2018-10-01,103.5300000000000000
2019-01-01,103.3200000000000000
2019-04-01,104.3766666666666667
2019-07-01,104.5800000000000000
2019-10-01,104.6533333333333333
2020-01-01,104.5533333333333333
2020-04-01,104.6866666666666667
